50,3,Rinnovo Socio Familiare diretto ARI
AA,A3,Rinnovo Socio Familiare diretto ARI – RR Digitale
51,2,Rinnovo Socio Familiare a mezzo Sezione
AB,B2,Rinnovo Socio Familiare a mezzo Sezione – RR Digitale
52,5,Rinnovo Socio OM Ordinario diretto ARI
AC,A5,Rinnovo Socio OM Ordinario diretto ARI – RR Digitale
53,4,Rinnovo Socio OM Ordinario a mezzo Sezione
AD,B4,Rinnovo Socio OM Ordinario a mezzo Sezione – RR Digitale
56,Q,Rinnovo Socio Radio Club Familiare diretto ARI
BA,Q1,Rinnovo Socio Radio Club Familiare diretto ARI – RR Digitale
57,T,Rinnovo Socio Radio Club Familiare a mezzo Sezione
BB,T1,Rinnovo Socio Radio Club Familiare a mezzo Sezione – RR Digitale
58,Z,Rinnovo Socio Radio Club Ordinario diretto ARI
BC,Z1,Rinnovo Socio Radio Club Ordinario diretto ARI – RR Digitale
59,S,Rinnovo Socio Radio Club Ordinario a mezzo Sezione
BD,S1,Rinnovo Socio Radio Club Ordinario a mezzo Sezione – RR Digitale
60,16,Non Socio
62,31,Socio non vedente
63,20,Servizio c/o Sede
64,10,Casa ARI
65,14,Trasferimento Diretto ARI
66,15,Trasferimento a mezzo Sezione
67,11,Servizio QSL diretto
68,12,Nominativo speciale
69,13,Servizio Manager
70,17,Abbonato europeo
71,18,Abbonato extraeuropeo
72,L,Quota Sezione
74,6,Nuovo Socio Familiare Ordinario diretto ARI
AE,A6,Nuovo Socio Familiare Ordinario diretto ARI – RR Digitale
75,7,Nuovo Socio Familiare Ordinario a mezzo Sezione
AF,B7,Nuovo Socio Familiare Ordinario a mezzo Sezione – RR Digitale
76,8,Nuovo Socio OM Ordinario diretto ARI
AG,A8,Nuovo Socio OM Ordinario diretto ARI – RR Digitale
77,9,Nuovo Socio OM Ordinario a mezzo Sezione
AH,B9,Nuovo Socio OM Ordinario a mezzo Sezione – RR Digitale
80,V,Nuovo Socio Familiare Radio Club diretto ARI
BE,V1,Nuovo Socio Familiare Radio Club diretto ARI – RR Digitale
81,R,Nuovo Socio Familiare Radio Club a mezzo Sezione
BF,R1,Nuovo Socio Familiare Radio Club a mezzo Sezione – RR Digitale
82,W,Nuovo Socio Radio Club Ordinario diretto ARI
BG,W1,Nuovo Socio Radio Club Ordinario diretto ARI – RR Digitale
83,X,Nuovo Socio Radio Club Ordinario a mezzo Sezione
BH,X1,Nuovo Socio Radio Club Ordinario a mezzo Sezione – RR Digitale
96,94,Rinnovo Juniores diretto ARI
AI,98,Rinnovo Juniores diretto ARI – RR Digitale
97,95,Rinnovo Juniores a mezzo Sezione
AL,99,Rinnovo Juniores a mezzo Sezione – RR Digitale
H,M,Rinnovo Juniores Radio Club diretto ARI
E,G,Rinnovo Juniores Radio Club diretto ARI – RR Digitale
I,N,Rinnovo Juniores Radio Club a mezzo Sezione
F,J,Rinnovo Juniores Radio Club a mezzo Sezione – RR Digitale
"96+1","94+1",Nuovo Juniores Ordinario diretto ARI
"AI+1","98+1",Nuovo Juniores Ordinario diretto ARI – RR Digitale
"97+0","95+0",Nuovo Juniores Ordinario a mezzo Sezione
"AL+0","99+0",Nuovo Juniores Ordinario a mezzo Sezione – RR Digitale
"H+1","M+1",Nuovo Juniores Radio Club diretto ARI
"E+1","G+1",Nuovo Juniores Radio Club diretto ARI – RR Digitale
"I+0","N+0",Nuovo Juniores Radio Club a mezzo Sezione
"F+0","J+0",Nuovo Juniores Radio Club a mezzo Sezione – RR Digitale
21,,Nuovo Socio OM semestrale diretto ARI
D1,,Nuovo Socio OM semestrale diretto ARI – RR Digitale
23,,Nuovo OM semestrale a mezzo Sezione
D2,,Nuovo OM semestrale a mezzo Sezione – RR Digitale
24,,Rientro OM semestrale diretto ARI
D3,,Rientro OM semestrale diretto ARI – RR Digitale
25,,Rientro OM semestrale a mezzo Sezione
D4,,Rientro OM semestrale a mezzo Sezione – RR Digitale
U,,Nuovo Radio Club semestrale diretto ARI
U1,,Nuovo Radio Club semestrale diretto ARI – RR Digitale
Y,,Nuovo Radio Club semestrale a mezzo Sezione
Y1,,Nuovo Radio Club semestrale a mezzo Sezione – RR Digitale
O,,Rientro Radio Club semestrale diretto ARI
O1,,Rientro Radio Club semestrale diretto ARI – RR Digitale
P,,Rientro Radio Club semestrale a mezzo Sezione
P1,,Rientro Radio Club semestrale a mezzo Sezione – RR Digitale
